DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY
2024-09-01,aFRR,NEG_001,875.56,5,5,DE
2024-09-01,aFRR,NEG_001,901.44,1,1,DE
2024-09-01,aFRR,NEG_001,948.01,5,5,DE
2024-09-01,aFRR,NEG_001,990.0,1,1,DE
2024-09-01,aFRR,NEG_001,999.0,5,5,DE
2024-09-01,aFRR,NEG_001,1000.0,1,1,DE
2024-09-01,aFRR,NEG_001,1000.0,17,17,DE
2024-09-01,aFRR,NEG_001,1000.0,5,5,DE
2024-09-01,aFRR,NEG_001,1000.0,5,5,DE
2024-09-01,aFRR,NEG_001,1020.45,5,5,DE
2024-09-01,aFRR,NEG_001,1045.0,5,5,DE
2024-09-01,aFRR,NEG_001,1091.73,1,1,DE
2024-09-01,aFRR,NEG_001,1092.9,5,5,DE
2024-09-01,aFRR,NEG_001,1145.0,1,1,DE
2024-09-01,aFRR,NEG_001,1165.34,5,5,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1210.0,1,1,DE
2024-09-01,aFRR,NEG_001,1237.78,5,5,DE
2024-09-01,aFRR,NEG_001,1250.0,1,1,DE
2024-09-01,aFRR,NEG_001,1282.02,1,1,DE
2024-09-01,aFRR,NEG_001,1300.0,9,9,DE
2024-09-01,aFRR,NEG_001,1300.0,2,2,DE
2024-09-01,aFRR,NEG_001,1310.23,5,5,DE
2024-09-01,aFRR,NEG_001,1382.67,5,5,DE
