Datum;von;bis;50Hertz (Negativ)
2024-09-07;12:15;12:30;18,848
2024-09-07;12:30;12:45;14,088
2024-09-07;12:45;13:00;11,312
2024-09-07;13:00;13:15;1,044
2024-09-07;13:15;13:30;14,7
2024-09-07;13:30;13:45;15,276
2024-09-07;13:45;14:00;0,444
2024-09-07;14:00;14:15;1,148
2024-09-07;14:15;14:30;5,052
2024-09-07;14:30;14:45;0,0
2024-09-07;14:45;15:00;0,0
2024-09-07;15:00;15:15;15,296
2024-09-07;15:15;15:30;18,06
2024-09-07;15:30;15:45;0,0
2024-09-07;15:45;16:00;0,0
2024-09-07;16:00;16:15;0,0
2024-09-07;16:15;16:30;6,74
2024-09-07;16:30;16:45;0,0
2024-09-07;16:45;17:00;28,216
2024-09-07;17:00;17:15;53,044
2024-09-07;17:15;17:30;30,864
2024-09-07;17:30;17:45;0,388
2024-09-07;17:45;18:00;34,44
2024-09-07;18:00;18:15;74,392
2024-09-07;18:15;18:30;14,84
2024-09-07;18:30;18:45;5,788
2024-09-07;18:45;19:00;0,168
2024-09-07;19:00;19:15;8,788
2024-09-07;19:15;19:30;0,0
2024-09-07;19:30;19:45;38,784
2024-09-07;19:45;20:00;26,916
2024-09-07;20:00;20:15;1,708
2024-09-07;20:15;20:30;2,14
2024-09-07;20:30;20:45;34,836
2024-09-07;20:45;21:00;147,076
2024-09-07;21:00;21:15;4,236
2024-09-07;21:15;21:30;21,44
2024-09-07;21:30;21:45;67,704
2024-09-07;21:45;22:00;109,824
2024-09-07;22:00;22:15;14,428
2024-09-07;22:15;22:30;17,476
2024-09-07;22:30;22:45;8,336
2024-09-07;22:45;23:00;7,656
2024-09-07;23:00;23:15;0,0
2024-09-07;23:15;23:30;0,0
2024-09-07;23:30;23:45;0,0
2024-09-07;23:45;00:00;1,416
2024-09-08;00:00;00:15;0,98
2024-09-08;00:15;00:30;6,496
2024-09-08;00:30;00:45;5,012
2024-09-08;00:45;01:00;0,0
2024-09-08;01:00;01:15;0,128
2024-09-08;01:15;01:30;2,58
2024-09-08;01:30;01:45;33,856
2024-09-08;01:45;02:00;4,0
2024-09-08;02:00;02:15;8,836
2024-09-08;02:15;02:30;23,74
2024-09-08;02:30;02:45;19,94
2024-09-08;02:45;03:00;1,536
2024-09-08;03:00;03:15;0,0
2024-09-08;03:15;03:30;0,0
2024-09-08;03:30;03:45;0,0
2024-09-08;03:45;04:00;0,0
2024-09-08;04:00;04:15;2,3
2024-09-08;04:15;04:30;4,136
2024-09-08;04:30;04:45;16,82
2024-09-08;04:45;05:00;11,808
2024-09-08;05:00;05:15;54,18
2024-09-08;05:15;05:30;8,748
2024-09-08;05:30;05:45;2,12
2024-09-08;05:45;06:00;0,004
2024-09-08;06:00;06:15;0,0
2024-09-08;06:15;06:30;0,0
2024-09-08;06:30;06:45;0,0
2024-09-08;06:45;07:00;0,0
2024-09-08;07:00;07:15;1,2
2024-09-08;07:15;07:30;44,212
2024-09-08;07:30;07:45;10,688
2024-09-08;07:45;08:00;32,952
2024-09-08;08:00;08:15;1,884
2024-09-08;08:15;08:30;0,524
2024-09-08;08:30;08:45;0,0
2024-09-08;08:45;09:00;0,0
2024-09-08;09:00;09:15;0,012
2024-09-08;09:15;09:30;1,536
2024-09-08;09:30;09:45;0,836
2024-09-08;09:45;10:00;0,084
2024-09-08;10:00;10:15;0,136
2024-09-08;10:15;10:30;0,0
2024-09-08;10:30;10:45;0,948
2024-09-08;10:45;11:00;1,048
2024-09-08;11:00;11:15;0,168
2024-09-08;11:15;11:30;1,524
2024-09-08;11:30;11:45;5,48
2024-09-08;11:45;12:00;0,088
2024-09-08;12:00;12:15;1,228
2024-09-08;12:15;12:30;0,04
2024-09-08;12:30;12:45;1,332
2024-09-08;12:45;13:00;1,924
2024-09-08;13:00;13:15;0,0
2024-09-08;13:15;13:30;0,836
2024-09-08;13:30;13:45;0,484
2024-09-08;13:45;14:00;0,692
2024-09-08;14:00;14:15;1,656
2024-09-08;14:15;14:30;0,884
2024-09-08;14:30;14:45;0,0
2024-09-08;14:45;15:00;0,0
